ID305B,WATER_NAME,LOCATION,source,coord,county
VAN-A03R_XGJ01A04,Unnamed tributary to Limestone Branch,Segment begins at the boundary of the Section 8 PWS area designation and continues downstream to the confluence with Limestone Branch.,rvr,"c(-77.5544712127546, 39.1526858235836)",Loudoun
VAN-A03R_XGJ01B10,Unnamed tributary to Limestone Branch,Segment begins at the headwaters of the unnamed tributary and continues downstream to the Section 8 PWS designation.,rvr,"c(-77.5884860176244, 39.1509940073961)",Loudoun
VAN-A03R_ZZZ04A00,Potomac River/Tuscarora Creek,"Potomac/Shenandoah
Unassessed segment of watershed A03R (PL04).",rvr,"c(-77.5312078609768, 39.2394993621135)",Loudoun
VAN-A03R_ZZZ05A00,Potomac River/Limestone Branch,"Potomac/Shenandoah
Unassessed segment of watershed A03R (PL05).",rvr,"c(-77.5317667119542, 39.1884748634682)",Loudoun
VAN-A04R_BOL01A04,Bolling Branch,"Segment begins at the confluence with an unnamed tributary to Bolling Branch, just upstream from Route 723, and continues downstream until the confluence with Goose Creek.",rvr,"c(-77.8989420031496, 38.8961919914279)",Fauquier
VAN-A04R_CRA01A04,Crooked Run,"Segment begins at the confluence with an unnamed tributary to Crooked Run, just downstream from Route 724, and continues downstream until the confluence with Goose Creek.",rvr,"c(-77.9292443304248, 38.9252580952696)",Fauquier
VAN-A04R_CRA02A08,Crooked Run,"Segment begins at the confluence with an unnamed tributary to Crooked Run, at rivermile 5.23, and continues downstream until the confluence with another unnamed tributary to Crooked Run, just downstream from Route 724.",rvr,"c(-77.9465478931258, 38.9567474935157)",Fauquier
VAN-A04R_CRA03A20,Crooked Run,Segment begins at the headwaters of Crooked Run and continues downstream to the confluence with an unnamed tributary to Crooked Run at rivermile 5.23.,rvr,"c(-77.9875286534255, 38.9588452116659)",Fauquier
VAN-A04R_GAR01A04,Gap Run,"Segment begins at the confluence with an unnamed tributary to Gap Run, just downstream from Route 712, and continues downstream until the confluence with Goose Creek.",rvr,"c(-77.8879410015737, 38.9407682812473)",Fauquier
VAN-A04R_GOO01A08,Goose Creek,Segment begins at the confluence with Bolling Branch and continues downstream until the confluence with Gap Run.,rvr,"c(-77.8789172488793, 38.9260439221334)",Fauquier
VAN-A04R_GOO01B00,Goose Creek,Segment begins at the confluence with Kettle Run and continues downstream until the confluence with Bolling Branch.,rvr,"c(-77.9207245020428, 38.9130801472568)",Fauquier
VAN-A04R_GOO02A04,Goose Creek,Segment begins at the headwaters of Goose Creek and continues downstream until the confluence with Kettle Run.,rvr,"c(-78.0122958650041, 38.9076328963756)",Fauquier
VAN-A04R_XJI01A04,Unnamed tributary to Goose Creek,"Segment begins at the headwaters of an unnamed tributary to Goose Creek and continues downstream until the confluence with Goose Creek, at rivermile 52.04.",rvr,"c(-78.0431765771218, 38.897677316314)",Fauquier
VAN-A04R_XLW01A14,Unnamed tributary to Goose Creek,"Segment begins at the headwaters of the unnamed tributary and continues downstream to the confluence with Goose Creek, at rivermile 45.10.",rvr,"c(-77.95034929207, 38.8819792721683)",Fauquier
VAN-A04R_ZZZ06A00,Goose Creek/Mitchells Branch,"Potomac/Shenandoah
Unassessed segment of watershed A04R (PL06).",rvr,"c(-77.9941883775812, 38.9094233439894)",Fauquier
VAN-A04R_ZZZ07A00,Goose Creek/Crooked Run/Gap Run,"Potomac/Shenandoah
Unassessed segment of watershed A04R (PL07).",rvr,"c(-77.923512715122, 38.9350336736663)",Fauquier
VAN-A05R_CRM01A00,Cromwells Run,"Segment begins at the confluence with an unnamed tributary to Cromwells Run, approximately 0.78 rivermile downstream from Route 715, and continues downstream until the confluence with Rocky Creek, approximately 0.4 rivermile downstream from Route 50.",rvr,"c(-77.7944616629106, 38.9581956235211)",Fauquier
VAN-A05R_CRM02A06,Cromwells Run,"Segment begins at the headwaters of Cromwells Run and continues downstream until the confluence with an unnamed tributary (XMI), at rivermile 4.61.",rvr,"c(-77.8266968513586, 38.904791920581)",Fauquier
VAN-A05R_GOO01A00,Goose Creek,"Segment begins at the confluence with Wancopin Creek, at rivermile 23.46, and continues downstream until the confluence with North Fork Goose Creek, at rivermile 16.58.",rvr,"c(-77.6807616436281, 39.0207316453818)",Loudoun
VAN-A05R_GOO02A06,Goose Creek,Segment begins at the confluence with Panther Skin Creek and continues downstream until the confluence with Rocky Creek.,rvr,"c(-77.8027827981616, 38.9865035090473)",Loudoun
VAN-A05R_GOO02B06,Goose Creek,"Segment begins at the confluence with an unnamed tributary to Goose Creek, at rivermile 35.28, and continues downstream until the confluence with Panther Skin Creek.",rvr,"c(-77.8265030719473, 38.9723434648841)",Fauquier
VAN-A05R_GOO02C04,Goose Creek,"Segment begins at the confluence with Gap Run and continues downstream until the confluence with an unnamed tributary to Goose Creek, at rivermile 35.28.",rvr,"c(-77.8536227660562, 38.9509677747259)",Fauquier
VAN-A05R_JEE01A16,Jeffries Branch,Segment begins at the confluence with unnamed tributary XCD and continues downstream until the confluence with Panther Skin Creek.,rvr,"c(-77.866877380397, 39.0226233368196)",Loudoun
VAN-A05R_JEE02A08,Jeffries Branch,Segment begins at the headwaters of Jeffries Branch and continues downstream until the confluence with unnamed tributary XCD.,rvr,"c(-77.8656612977305, 39.061948994453)",Loudoun
VAN-A05R_PAE01A02,Panther Skin Creek,Segment begins at the confluence with Jeffries Branch and continues downstream until the confluence with Goose Creek.,rvr,"c(-77.8371168493604, 38.9931104214029)",Loudoun
VAN-A05R_PAE02A06,Panther Skin Creek,Segment begins at the headwaters of Panther Skin Creek and continues downstream until the confluence with Jeffries Branch.,rvr,"c(-77.8932778959328, 38.9962897838537)",Fauquier
VAN-A05R_WAC01A04,Wancopin Creek,"Segment begins at the confluence with an unnamed tributary to Wancopin Creek, just upstream from Route 50, and continues downstream until the confluence with Goose Creek.",rvr,"c(-77.7226979287036, 38.9910755426911)",Loudoun
VAN-A05R_XCD01A16,Unnamed tributary to Jeffries Branch,Segment begins at the confluence with an unnamed tributary at rivermile 0.32 and continues downstream to the confluence with Jeffries Branch.,rvr,"c(-77.8664331021975, 39.0522835811946)",Loudoun
VAN-A05R_XMI01A12,Unnamed tributary to Cromwells Run,"Segments begin at the headwaters of the unnamed tributary, and continues downstream to the confluence with Cromwells Run.",rvr,"c(-77.8015099858336, 38.9123728710838)",Fauquier
VAN-A05R_ZZZ07A00,Goose Creek/Crooked Run/Gap Run,"Potomac/Shenandoah
Unassessed segment of watershed A05R (PL07).",rvr,"c(-77.8475235482997, 38.9485983897634)",Fauquier
VAN-A05R_ZZZ08A00,Panther Skin Creek,"Potomac/Shenandoah
Unassessed segment of watershed A05R (PL08).",rvr,"c(-77.8782767464982, 39.0069038277492)",Loudoun
VAN-A05R_ZZZ09A00,Cromwells Run,"Potomac/Shenandoah
Unassessed segment of watershed A05R (PL09).",rvr,"c(-77.8121046417578, 38.9219578307799)",Fauquier
VAN-A05R_ZZZ10A00,Goose Creek/Wanopin Creek,"Potomac/Shenandoah
Unassessed segment of watershed A05R (PL10).",rvr,"c(-77.7355085742001, 38.9939608532792)",Loudoun
VAN-A06R_CRF01A02,Crooked Run,"Segment begins at the confluence with an unnamed tributary to Crooked Run, at the Route 725 bridge, and continues downstream until the confluence with North Fork Goose Creek.",rvr,"c(-77.6826404856644, 39.0890745429777)",Loudoun
VAN-A06R_JAC01A04,Jacks Run,Segment begins at the headwaters of Jacks Run and continues downstream until the confluence with North Fork Goose Creek.,rvr,"c(-77.7328871800606, 39.1251349264215)",Loudoun
VAN-A06R_NOG01A06,North Fork Goose Creek,Segment begins at the confluence with Beaverdam Creek and continues downstream until the confluence with Goose Creek.,rvr,"c(-77.6626286835631, 39.0434423982142)",Loudoun
VAN-A06R_NOG01B04,North Fork Goose Creek,Segment begins at the confluence with Crooked Run and continues downstream until the confluence with Beaverdam Creek.,rvr,"c(-77.6775126958266, 39.0628244999505)",Loudoun
VAN-A06R_NOG02A00,North Fork Goose Creek,"Segment begins at the confluence with an unnamed tributary to North Fork Goose Creek, approximately 0.23 rivermiles upstream from Route 725, and continues downstream until the confluence with Crooked Run.",rvr,"c(-77.7112491202379, 39.0875737089623)",Loudoun
VAN-A06R_NOG03A02,North Fork Goose Creek,"Segment begins at the outlet from Sleeter Lake and continues downstream until the confluence with an unnamed tributary to North Fork Goose Creek, approximately 0.23 rivermiles upstream of Route 725.",rvr,"c(-77.7424199470094, 39.1124532710224)",Loudoun
VAN-A06R_NOG04A04,North Fork Goose Creek,Segment begins at the headwaters of North Fork Goose Creek and continues downstream until the start of the inundated waters of Sleeter Lake.,rvr,"c(-77.7712739591282, 39.1489059682399)",Loudoun
VAN-A06R_SIM01A04,Simpsons Creek,"Segment begins at the confluence of an unnamed tributary to Simpsons Creek, just downstream from Rt. 7, and continues downstream to the start of the inundated waters of Sleeter Lake.",rvr,"c(-77.7752554069623, 39.1274168976596)",Loudoun
VAN-A06R_ZZZ12A00,North Fork Goose Creek,"Potomac/Shenandoah
Unassessed segment of watershed A06R (PL12).",rvr,"c(-77.7062806016516, 39.105208017287)",Loudoun
VAN-A07R_BEC01A00,Beaverdam Creek,"Segment begins at the confluence with North Fork Beaverdam Creek, approximately 0.27 rivermile upstream of Route 746, and continues downstream until the confluence with North Fork Goose Creek.",rvr,"c(-77.7093658401506, 39.0418771957242)",Loudoun
VAN-A07R_BEC02A04,Beaverdam Creek,"Segment begins at the confluence with an unnamed tributary to Beaverdam Creek, just upstream from Route 626, and continues downstream until the confluence of with Dog Branch.",rvr,"c(-77.7772920141522, 39.0345616927752)",Loudoun
VAN-A07R_BEC03A12,Beaverdam Creek,"Segment begins at the confluence with an unnamed tributary, at rivermile 13.2, and continues downstream to the confluence with an unnamed tributary to Beaverdam Creek, just upstream from Route 626.",rvr,"c(-77.7990604276907, 39.0220926961614)",Loudoun
VAN-A07R_BUS01A02,Butchers Branch,"Segment begins at the confluence with an unnamed tributary to Butchers Branch, immediately upstream from Route 831, and continues downstream until the confluence with the North Fork Beaverdam Creek.",rvr,"c(-77.8014150109893, 39.0824779070996)",Loudoun
VAN-A07R_NOB01A02,North Fork Beaverdam Creek,"Segment begins at the confluence with an unnamed tributary to North Fork Beaverdam Creek, at rivermile 3.12, and continues downstream until the confluence with the main stem of Beaverdam Creek.",rvr,"c(-77.7567182917027, 39.0607235835978)",Loudoun
VAN-A07R_NOB02A04,North Fork Beaverdam Creek,"Segment begins at the confluence with Butchers Branch and continues downstream until the confluence with an unnamed tributary to North Fork Beaverdam Creek, at rivermile 3.12.",rvr,"c(-77.7778619957952, 39.0745859492026)",Loudoun
VAN-A07R_NOB03A04,North Fork Beaverdam Creek,Segment begins at the headwaters of North Fork Beaverdam Creek and continues downstream until the confluence with Butchers Branch.,rvr,"c(-77.803306249913, 39.1050566338351)",Loudoun
VAN-A07R_XGU01A08,Unnamed tributary to Beaverdam Creek,"Segment begins at the headwaters of an unnamed tributary to Beaverdam Creek and continues downstream until the confluence with Beaverdam Creek, approximately 0.62 rivermile downstream from the Route 790 bridge crossing.",rvr,"c(-77.7984470226835, 39.0103723051854)",Loudoun
VAN-A07R_ZZZ11A00,Beaverdam Creek,"Potomac/Shenandoah
Unassessed segment of watershed A07R (PL11).",rvr,"c(-77.7924700054502, 39.0612101913212)",Loudoun
VAN-A08R_BAO01A06,Bartons Creek,Segment begins at the headwaters of Bartons Creek and continues downstream until the confluence with the Little River.,rvr,"c(-77.7019822956587, 38.9250793348283)",Fauquier
VAN-A08R_BIB01A14,Big Branch,Segment begins at the headwaters of Big Branch and continues downstream to the confluence with Goose Creek,rvr,"c(-77.6065772806957, 39.0466578638465)",Loudoun
VAN-A08R_CAC01A18,Cattail Branch,Segment begins downstream from Lake Sherred near Route 15 and continues downstream to the confluence with Goose Creek.,rvr,"c(-77.5171953867226, 39.1113017142682)",Loudoun
VAN-A08R_DRL01A16,Dry Mill Branch,Segment begins at the confluence with an unnamed tributary at rivermile 2.97 and continues downstream to the confluence with Tuscarora Creek.,rvr,"c(-77.599370440402, 39.1130619906758)",Loudoun
VAN-A08R_GOO01A00,Goose Creek,Segment begins below the Goose Creek impoundment and continues downstream until the confluence with the Potomac River.,rvr,"c(-77.5071275556766, 39.0827917525981)",Loudoun
VAN-A08R_GOO03A02,Goose Creek,"Segment begins at the confluence with the Little River and extends downstream until the backwaters of the Goose Creek Reservoir, at approximately rivermile 10.2.",rvr,"c(-77.5799527771883, 39.0196418726647)",Loudoun
VAN-A08R_GOO04A08,Goose Creek,Segment begins at the confluence with North Fork Goose Creek and continues downstream until the confluence with Little River.,rvr,"c(-77.6232628639431, 39.0315412152303)",Loudoun
VAN-A08R_HOW01A08,Howsers Branch,Segment begins at the headwaters of Howsers Branch and continues downstream until the confluence with Little River.,rvr,"c(-77.6119402766718, 38.981359040443)",Loudoun
VAN-A08R_HUN01A06,Hungry Run,"Segment begins at the headwaters of Hungry Run and continues downstream until the confluence with the Little River, at rivermile 6.25.",rvr,"c(-77.6728440692615, 38.9362162354391)",Fauquier
VAN-A08R_LIV01A00,Little River,"Segment begins at the confluence with Hungry Run, approximately 1.5 rivermiles upstream from Route 50 near Aldie, and continues downstream until the confluence with Goose Creek.",rvr,"c(-77.6274261031391, 38.9934939654621)",Loudoun
VAN-A08R_LIV02A06,Little River,"Segment begins at the confluence with an unnamed tributary and continues downstream until the confluence with Hungry Run, approximately 1.5 rivermiles upstream from Route 50 near Aldie.",rvr,"c(-77.6728044553677, 38.9717017933463)",Loudoun
VAN-A08R_LIV02B10,Little River,Segment begins at the confluence with Bartons Creek and continues downstream until the confluence with an unnamed tributary.,rvr,"c(-77.7067915217579, 38.9581377491144)",Loudoun
VAN-A08R_LIV03A06,Little River,"Segment begins the confluence with an unnamed tributary to the Little River, approximately 0.6 rivermile upstream from the Route 705 crossing, and continues downstream until the confluence with Bartons Creek.",rvr,"c(-77.7417829292161, 38.9190272900335)",Fauquier
VAN-A08R_SFS01A02,South Fork Sycolin Creek,Segment begins at the headwaters of South Fork Sycolin Creek and continues downstream until the confluence with Sycolin Creek.,rvr,"c(-77.6279696149437, 39.0701524688071)",Loudoun
VAN-A08R_SYC01A00,Sycolin Creek,"Segment begins at rivermile 1.20, the boundary of the PWS designation, and continues downstream until the confluence with Goose Creek.",rvr,"c(-77.524859361369, 39.0708719293095)",Loudoun
VAN-A08R_SYC01B06,Sycolin Creek,"Segment begins at the confluence with an unnamed tributary to Sycolin Creek, approximately 0.23 rivermile upstream from Route 643, and continues downstream until rivermile 1.20, the boundary of the PWS designation.",rvr,"c(-77.5422099621956, 39.0621175500212)",Loudoun
VAN-A08R_SYC02A02,Sycolin Creek,"Segment begins at the confluence with South Fork Sycolin Creek and continues downstream until the confluence with an unnamed tributary to Sycolin Creek, approximately 0.23 rivermile upstream from Route 643.",rvr,"c(-77.5796142309601, 39.0599112353282)",Loudoun
VAN-A08R_SYC03A02,Sycolin Creek,Segment begins at the headwaters of Sycolin Creek and continues downstream until the confluence with South Fork Sycolin Creek.,rvr,"c(-77.6254640683542, 39.0861358571656)",Loudoun
VAN-A08R_TUS01A00,Tuscarora Creek,"Segment begins at the boundary for the PWS designation area, approximately 0.1 rivermile downstream from the Route 15 crossing. and continues downstream until the confluence with Goose Creek.",rvr,"c(-77.5314267438188, 39.0900630213652)",Loudoun
VAN-A08R_TUS01B06,Tuscarora Creek,"Segment begins at the confluence with Town Branch and continues downstream until the boundary for the PWS designation area, approximately 0.1 rivermile downstream from the Route 15 crossing.",rvr,"c(-77.554377898967, 39.1040587506842)",Loudoun
VAN-A08R_XLO01A10,Unnamed tributary to Goose Creek,Segment begins at the headwaters of the unnamed tributary and continues downstream to the confluence with Goose Creek.,rvr,"c(-77.5909774830146, 39.0278455238716)",Loudoun
VAN-A08R_ZZZ13A00,Little River,"Potomac/Shenandoah
Unassessed segment of watershed A08R (PL13).",rvr,"c(-77.6997528484636, 38.9431211195182)",Fauquier
VAN-A08R_ZZZ14A00,Goose Creek/Big Branch,"Potomac/Shenandoah
Unassessed segment of watershed A08R (PL14).",rvr,"c(-77.5833280119382, 39.0240621365314)",Loudoun
VAN-A08R_ZZZ15A00,Sycolin Creek,"Potomac/Shenandoah
Unassessed segment of watershed A08R (PL15).",rvr,"c(-77.5869182988651, 39.0748515656319)",Loudoun
VAN-A08R_ZZZ16A00,Goose Creek/Cattail Branch,"Potomac/Shenandoah
Unassessed segment of watershed A08R (PL16).",rvr,"c(-77.5596942177527, 39.1036639251753)",Loudoun
VAN-A09R_BEM01A04,Beaverdam Run,"Segment begins at the confluence with of an unnamed tributary to Beaverdam Run, and continues downstream until the confluence with Broad Run.",rvr,"c(-77.4567591809527, 39.0351368182124)",Loudoun
VAN-A09R_BEM02B10,Beaverdam Run,"Segment begins at the confluence with of an unnamed tributary to Beaverdam Run, in Ashburn Park, and continues downstream until the confluence with an unnamed tributary to Beaverdam Run.",rvr,"c(-77.4811248089517, 39.033143197029)",Loudoun
VAN-A09R_BRB01A00,Broad Run,Segment begins at the confluence with Beaverdam Run and continues downstream until the confluence with the Potomac River.,rvr,"c(-77.437981992307, 39.0550106312147)",Loudoun
VAN-A09R_BRB02A06,Broad Run,Segment begins at the confluence with Cabin Branch and continues downstream until the confluence with Beaverdam Run.,rvr,"c(-77.4391272110289, 39.0329187860898)",Loudoun
VAN-A09R_BRB03A06,Broad Run,Segment begins at the Route 625 crossing and continues downstream until the confluence with Cabin Branch.,rvr,"c(-77.4462238746176, 39.0149630254746)",Loudoun
VAN-A09R_BRB03B08,Broad Run,Segment begins at the confluence with Horsepen Run and continues downstream until the Route 625 crossing.,rvr,"c(-77.4614455285414, 39.0011828661634)",Loudoun
VAN-A09R_BRB03C10,Broad Run,"Segment begins at the confluence of Broad Run with South Fork Broad Run, and continues downstream until the confluence with Horsepen Run.",rvr,"c(-77.4995565872845, 38.975688043933)",Loudoun
VAN-A09R_BRB04A08,Broad Run,Segment begins at the perennial headwaters and continues downstream until the confluence with South Fork Broad Run.,rvr,"c(-77.5553582540395, 38.9636279629728)",Loudoun
VAN-A09R_BRB05A12,Broad Run,Segment begins at the intermittent headwaters of Broad Run and continues downstream to the perennial headwaters.,rvr,"c(-77.5850664943663, 38.9797324243392)",Loudoun
VAN-A09R_CAB01A12,Cabin Branch,"Segment begins at the headwaters of Cabin Branch, and continues downstream to the confluence with Broad Run.",rvr,"c(-77.4235340399504, 39.0081833428265)",Loudoun
VAN-A09R_FRY01A18,Frying Pan Branch,Segment begins at the perennial headwaters and continues downstream to the confluence with Horsepen Run.,rvr,"c(-77.4119995678098, 38.9415373617593)",Fairfax
VAN-A09R_HPR01A00,Horsepen Run,"Segment begins at the headwaters of Horsepen Run and continues downstream until the confluence with Stallion Branch, 0.83 rivermile upstream from Route 606.",rvr,"c(-77.4267560585426, 38.9473389020865)",Fairfax
VAN-A09R_INI01A14,Indian Creek,Segment begins at the headwaters of Indian Creek and continues downstream to the confluence with Horsepen Run.,rvr,"c(-77.433359651653, 38.9852554293692)",Loudoun
VAN-A09R_RUS01A20,Russell Branch,Segment begins at the start of the PWS designation and continues downstream to the confluence with Beaverdam Run.,rvr,"c(-77.4600889931257, 39.049232781638)",Loudoun
VAN-A09R_RUS02A20,Russell Branch,Segment begins at the perennial headwaters and continues downstream to the start of the PWS designation.,rvr,"c(-77.4742193208262, 39.0577215703085)",Loudoun
VAN-A09R_SOR01A04,South Fork Broad Run,Segment begins at the headwaters of South Fork Broad Run and continues downstream until the confluence with Broad Run.,rvr,"c(-77.5646484834546, 38.9405744970369)",Loudoun
VAN-A09R_XLE01A10,Unnamed tributary to Potomac River,"Segment begins at an unnamed tributary at rivermile 1.82, and continues downstream to the confluence with the Potomac River.",rvr,"c(-77.3994489635315, 39.0570687546245)",Loudoun
VAN-A09R_XMG01A12,Unnamed tributary to Broad Run,"Segment begins at the headwaters of the unnamed tributary, and continues downstream to the confluence with Broad Run.",rvr,"c(-77.5172402533338, 38.9826249077419)",Loudoun
VAN-A09R_ZZZ17A00,Broad Run/Lenah Run,"Potomac/Shenandoah.
Unassessed segment of watershed A09R (PL17).",rvr,"c(-77.5413343935058, 38.9630086783439)",Loudoun
